"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"3976","Normal/Others","WS/MP096/2024-2025/132535-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27)","Sitting Rajya Sabha","Construction of Panakkad Palli canteen road /pathway, Ward No.37, Malappuram Municipality","14-Jun-2024","971608","15-Jun-2024"
"3977","Normal/Others","WS/MP096/2024-2025/132536-Lighting of public spaces","Kerala","THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA)","Shri Abdul Wahab (2021-27)","Sitting Rajya Sabha","Setting up of High Mast light at Potta Pattiyethukunnu Colony, Ward No.08, Pazhayannur  Panchayath (SC)","14-Jun-2024","492987","10-Sep-2024"
"3978","Normal/Others","WS/MP096/2024-2025/132537-Lighting of public spaces","Kerala","THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA)","Shri Abdul Wahab (2021-27)","Sitting Rajya Sabha","Setting up of High Mast light at Potta  Colony, Ward No.07, Pazhayannur  Panchayath (SC)","14-Jun-2024","492987","10-Sep-2024"
"3979","Normal/Others","WS/MP842/2024-2025/132553-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Smt. P. T. Usha (2022-28)","Nominated Rajya Sabha","Side protection of  Puliyilakkuzhi Road (Concreting ), Ward 8. Keralassery Gramapanchayath Palakkad Block Panchayat,Palakkad District 678641 , (Work Type :SC)","15-Jun-2024","3000000","24-Mar-2025"
"3980","Normal/Others","WS/MP842/2024-2025/132554-Construction of footpaths and pedestrian ways","Kerala","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Smt. P. T. Usha (2022-28)","Nominated Rajya Sabha","Construction of Footpath Inside Bhoothivazhy OLH Colony  Road (Interlocking), Ward -8, Bhoothivazhy, Agali Grama Panchayat, Attappadi Block , Palakkad(Dist.), Kerala,  Pin: 678581 (Work: SC)","15-Jun-2024","260770","10-Dec-2024"
"3981","Normal/Others","WS/MP096/2024-2025/132555-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27)","Sitting Rajya Sabha","Construction of Poozhipatta town - Karinilam /pathway, Ward No. 11, Moorkkanad Panchayat","15-Jun-2024","396289","05-Jul-2024"
"3982","Normal/Others","WS/MP096/2024-2025/132556-Purchase of books for public libraries/ digitization of library books","Kerala","THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA)","Shri Abdul Wahab (2021-27)","Sitting Rajya Sabha","Purchasing books for Thalassery Grameena Vayanashala at Thalassery, Deshamangalam Panchayat","15-Jun-2024","50000","25-Sep-2024"
"3983","Normal/Others","WS/MP096/2024-2025/132557-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA)","Shri Abdul Wahab (2021-27)","Sitting Rajya Sabha","Construction of Mahatma Gandhi road / pathway Ward No.01, Engadiyoor Panchayath.","15-Jun-2024","1000000","15-Jan-2025"
"3984","Normal/Others","WS/MP096/2024-2025/132558-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","Shri Abdul Wahab (2021-27)","Sitting Rajya Sabha","Construction of Kolorkkandi - Chathan parambu Temple Road/Pathway Ward No.13, Kizhariyoor Panchayat, Kozhikode District","15-Jun-2024","481516","06-Jul-2024"
"3985","Normal/Others","WS/MP096/2024-2025/132559-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27)","Sitting Rajya Sabha","Construction of Pullattukulambil SC Colony Road/pathway, Ward No. 10 Kuttipuram Panchayat","15-Jun-2024","431178","28-Nov-2024"
"3986","Normal/Others","WS/MP096/2024-2025/132560-Lighting of public spaces","Kerala","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","Shri Abdul Wahab (2021-27)","Sitting Rajya Sabha","Setting up of low mast light at Kopprakkalli, Ward Mp.17, Kadalundi Panchayath","15-Jun-2024","136886","22-Jun-2024"
"3987","Normal/Others","WS/MP096/2024-2025/132561-Lighting of public spaces","Kerala","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","Shri Abdul Wahab (2021-27)","Sitting Rajya Sabha","Setting up of low mast light at Marakkattil - Srambya road Junction, Ward No.17, Kadalundi Panchayath.","15-Jun-2024","136886","06-Jul-2024"
"3988","Normal/Others","WS/MP831/2024-2025/132563-Construction of culverts and bridges","Assam","UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","construction of RCC Box culvert at No.2 Makelikanda village approached road to Nijdala MB road under Balipara VCDC, Bhergaon.","17-Jun-2024","500000","01-Mar-2025"
"3989","Normal/Others","WS/MP831/2025-2026/132564-Construction of culverts and bridges","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","construction of RCC Box Culvert at Anthaiguri(Silguri) village under Dangtal VCDC, Chirang.","17-Jun-2024","1800000","29-May-2025"
"3990","Normal/Others","WS/MP831/2024-2025/132565-Construction of rooms and halls in school and colleges","Assam","SONITPUR(Deputy Commissioner Sonitpur, Tezpur)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Construction of additional class room at Batachipur Milon Bodo M.E. School, under Batachipur Panchayat.","17-Jun-2024","2000000","16-Jan-2025"
"3991","Repair and Renovation","WS/MP831/2025-2026/132566-Construction of rooms and halls in school and colleges","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Renovation of administrative Building of Bodosa High School under Bangaldoba VCDC, Chirang.","17-Jun-2024","3500000","28-May-2025"
"3992","Normal/Others","WS/MP831/2025-2026/132567-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","constructionn of Kujia River erosion protection at middle  Khamarpa village under Rowmari VCDC,chirang.","17-Jun-2024","2000000","12-Jul-2025"
"3993","Normal/Others","WS/MP831/2024-2025/132568-Construction of rooms and halls in school and colleges","Assam","DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Construction of Auditorium Hall at Mingmang Nalbari HS school under Nalbari Panchayat,Dhemaji.","17-Jun-2024","2000000","22-Aug-2024"
"3994","Repair and Renovation","WS/MP831/2025-2026/132569-Construction of community centers and community halls","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Repairing of Gaonbura Bhawan at Dangagaon Village, Chirang","17-Jun-2024","700000","07-Jul-2025"
"3995","Repair and Renovation","WS/MP831/2025-2026/132570-Construction of rooms and halls in school and colleges","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Repairing of Kagrabari M.E.School under Dangtal VCDC, Chirang.","17-Jun-2024","700000","20-Jun-2025"
"3996","Repair and Renovation","NA-Construction of rooms and halls in school and colleges","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Repairing of Dangtal M.E. school building ang construction of gate near Kinabargaon MPHC under Dangtal VCDC,chirang.","17-Jun-2024","700000","NA"
"3997","Normal/Others","WS/MP831/2024-2025/132572-Construction of culverts and bridges","Assam","UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","construction of RCC Box culvert at Dhupguri village approaching road, Murmela VCDC, Bhegaon.","17-Jun-2024","1000000","01-Mar-2025"
"3998","Normal/Others","WS/MP831/2025-2026/132573-Construction of community centers and community halls","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Construction of Community hall At Bijni Dist Bodo Sahitya Sabha Office, Bhetgaon, Bijni.","17-Jun-2024","1500000","20-May-2025"
"3999","Normal/Others","WS/MP831/2024-2025/132574-Construction of culverts and bridges","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","construction of RCC Box Culvert near Supol Kisku House at Chetantola village under west Maligaon VCDC, Kokrajhar.","17-Jun-2024","997580","05-Dec-2024"
"4000","Normal/Others","WS/MP831/2024-2025/132575-Construction of culverts and bridges","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","construction of RCC Box Culvert at Paddy field road to chetantola Village under Maligaon VCDC, kokrajhar.","17-Jun-2024","499135","05-Dec-2024"
"4001","Repair and Renovation","WS/MP831/2024-2025/132577-Construction of buildings for sports facilities","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Repairing of Raimona Friends Club at Raimona Village under Raimona VCDC, Gossaigaon.","17-Jun-2024","1498636","18-Oct-2024"
"4002","Normal/Others","WS/MP831/2024-2025/132578-Construction of culverts and bridges","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","construction of RCC Box Culvert near Mustafa Talukder house at Thuripara village under Devitola VCDC, Parbatjhora.","17-Jun-2024","498272","05-Dec-2024"
"4003","Normal/Others","WS/MP831/2024-2025/132579-Construction of culverts and bridges","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Construction of RCC Box Culvert at  Pansri Dwisa, Borjhora pt- ii village under Monglajora VCDC, Parbatjhora.","17-Jun-2024","499538","18-Oct-2024"
"4004","Normal/Others","WS/MP831/2024-2025/132580-Construction of culverts and bridges","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Construction of RCC Box Culvert near Rajib's House at Palashguri village under Palashguri VCDC, Parbatjhora.","17-Jun-2024","495955","05-Dec-2024"
"4005","Normal/Others","NA-Construction of culverts and bridges","Assam","BAKSA(DEPUTY COMMISSIONER BAKSA_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Construction of RCC Box Culvert at Jakhilirpar village under Uttar Howly VCDC, Gabardhana Dev. Block, Salbari Sub-Division.","17-Jun-2024","500000","NA"
"4006","Normal/Others","WS/MP831/2025-2026/132582-Construction of culverts and bridges","Assam","BAKSA(DEPUTY COMMISSIONER BAKSA_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","construction of RCC Box Culvert at Bathouguri ( Bartari) village under Rufapulli VCDC , Jalah Dev, Block","17-Jun-2024","500000","02-Aug-2025"
"4007","Normal/Others","NA-Construction of culverts and bridges","Assam","BAKSA(DEPUTY COMMISSIONER BAKSA_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Construction of RCC Box Culvert at Bagarpara(Bunmaja) village under Pub-Howly VCDC, Jalah Dev.Block, Salbari.","17-Jun-2024","500000","NA"
"4008","Normal/Others","WS/MP831/2026-2027/132584-Construction of culverts and bridges","Assam","BAKSA(DEPUTY COMMISSIONER BAKSA_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Construction of RCC Bridge at Atiabari Golbil road, Barimaka village  under Silakuti VCDC, Mushalpur , Baksa.","17-Jun-2024","1500000","22-May-2026"
"4009","Normal/Others","WS/MP831/2026-2027/132585-Construction of culverts and bridges","Assam","TAMULPUR(IDA Tamulpur)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Construction of RCC Box Culvert at Padmapara village under No.3 Dakhin Kumarikata VCDC  ,Tamulpur","17-Jun-2024","1000000","14-Aug-2026"
"4010","Normal/Others","WS/MP831/2026-2027/132586-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","Assam","TAMULPUR(IDA Tamulpur)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Construction of Bi-Cycle stand at Tamulpur Sr. Secondary School, Tamulpur.","17-Jun-2024","500000","31-Jul-2026"
"4011","Normal/Others","WS/MP831/2024-2025/132587-Construction of buildings for community cultural activities","Assam","UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Construction of Harimu Jousang at Swrang Hadang( Mahaliapara), Kheraisali under Gerua Bazar VCDC, Udalguri.","17-Jun-2024","1500000","29-Mar-2025"
"4012","Normal/Others","NA-Purchase of IT systems, including hardware and software for educational purposes","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Purchase of IT systems, for education purpose of Basugaon College, Chirang","18-Jun-2024","1500000","NA"
"4013","Normal/Others","WS/MP831/2025-2026/132601-Construction of rooms and halls in school and colleges","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Renovation of 513 no. Kachugaon Ravapara L.P.School cultural stage.","18-Jun-2024","500000","26-Jun-2025"
"4014","Normal/Others","WS/MP831/2025-2026/132602-Construction of culverts and bridges","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Construction of RCC Box Culvert at Dhaligaon  village near Damanti Brahma's House, Chirang","18-Jun-2024","1000000","23-Jun-2025"
"4015","Normal/Others","WS/MP831/2025-2026/132603-Construction of culverts and bridges","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","construction of RCC Box Culvert at Dwimuguri Village, Palashbari near Joyanta Basumatary.","18-Jun-2024","1000000","08-Jul-2025"
"4016","Normal/Others","WS/MP831/2025-2026/132604-Construction of boundary walls of existing public and community buildings","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Constrution of Boundary wall at Manglagaon M.E. School, Manglagaon, Chirang.","18-Jun-2024","1200000","28-May-2025"
"4017","Normal/Others","WS/MP831/2025-2026/132605-Construction of community centers and community halls","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Construction of Gendergaon Mahila Afad Community hall under Bangaldaba VCDC, Chirang.","18-Jun-2024","1000000","28-May-2025"
"4018","Normal/Others","WS/MP831/2025-2026/132606-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Construction of crematorium at Kishan Bazar, Amlaiguri Village , Chirang.","18-Jun-2024","1500000","21-May-2025"
"4019","Normal/Others","WS/MP831/2025-2026/132607-Construction of rooms and halls in school and colleges","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Construction of additional room at Pachim Padmapur L.P.School under Sidli Dev.Block, Chirang.","18-Jun-2024","1000000","28-May-2025"
